Categories,Product name,Description,Mall Final pricing,,University FInal pricing,,Office final pricing,,Calorie (Kcal),Zomato Description
,Skin secret,"Apple, Lemon Juice, Blueberry, Strawberry, Beetroot, Guava, Banana, Amla, Orange, Turmeric, Pineapple, Almonds, Honey",175,225,125,160,175,225,147,"Indulge in our Skin Secret Drink, a luscious fusion of vibrant fruits, nourishing nuts, and natural sweetness. Packed with essential nutrients, this refreshing elixir promotes radiant skin and overall well-being for a delightful and nutritious treat"
,Diabetic special,"Blue Berry. Guava, Pineapple, Black salt, Lemon, Orange",175,225,125,160,175,225,65,"thoughtfully balanced blend crafted to promote well-being. Filled with antioxidant-rich fruits, digestive aids, and vitamin-packed citrus, this refreshing concoction is designed to cater to health-conscious choices while delivering a burst of natural goodness"
,Gymers special,"Banana, Peanut butter, Cocoa, Dates, Whey protein",275,299,175,225,199,249,477,"Fuel your workout with our Gymmer's Special Drink – a tasty blend that gives you sustained energy, helps with muscle recovery, and adds a touch of natural sweetness to your fitness routine"
Food (Sandwich) - Highlight,Paneer tikka sandwich (new) -> Paneer Tikka Millet Sandwich,"Millet bread, Paneer, lettuce, Olive oil, tomato, Hung curd, green chilli, garlic, ginger, onion, bell pepper",225,,175,,199,,176,"Indulge in the goodness of a Paneer Tikka Millet Sandwich, blending the rich flavors of spiced paneer with the nutritional benefits of millet bread, offering a tasty yet wholesome bite packed with fiber, vitamins, and a satisfying crunch"
Add ons,Chia seeds,,20,,20,,20,,,
,Oats,,20,,20,,20,,,
,Almonds,,20,,20,,20,,,
,Walnuts,,30,,30,,30,,,
,Peanut butter,,30,,30,,30,,,
,"Whey protein -> Whey protein (Muscle blaze), 15 gm",,50,,50,,50,,,
Vegan Base ,Coconut water ,,50,75,50,75,50,75,,
,Almond Milk,,99,125,99,125,99,125,,
,,,,,,,,,,
,,,,,,,,,,
Pamphlet additional content -> Snacks and Cookies,,,Price,,Price,,Price,,,
1,Milk kaju biscuit -> Kaju jaggery Biscuit,,40,,30,,30,,,
2,BOT cookies -> Basil BOT cookies,,59,99,59,99,59,99,,
3,Protein Mix -> Guilt free snack ,"Peanut, Chana, oats, Onion, garlic, jaggery powder, green chilli, curry patta, lemon, Chaat masala. garlic powder, deghi mirch, cummin powder, turmeric powder, aamchur, black salt, sea salt",99,,75,,99,,,
4,Fruit bowl - single fruit offering -> Single fruit bowl ,"Guava, Papaya, Banana, Pineapple, Orange, Apple - choose any one, 350 gm",175,,99,,175,,,
